Nama Toko,Nama Produk,Harga Produk,sold
Samsung Official Store,"Samsung Galaxy S24 FE [8/256] - [Blue, Graphite, Gray] Smartphone AI, AI Phone, Handphone AI, Kamera 50MP, Layar besar, RAM besar, Baterai tahan lama - Blue",Rp9.999.000,Terjual 40+•Diskusi (4)
Infinix Official Store,"Infinix Smart 8 Pro 8/128GB- Up to 16GB Extended RAM - 6.6"" - Timber Black",Rp1.369.000,Terjual 3 rb+•bintang 4.9 (1.367 rating)•Diskusi (39)
